a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
0.023255813953488372,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.023255813953488372
0.04151624548736462,0.032490974729241874,0.048736462093862815,0.04693140794223827,0.04512635379061372,0.039711191335740074,0.02888086642599278,0.04693140794223827,0.04512635379061372,0.02888086642599278,0.032490974729241874,0.039711191335740074,0.032490974729241874,0.039711191335740074,0.04151624548736462,0.036101083032490974,0.030685920577617327,0.04693140794223827,0.03790613718411552,0.03790613718411552,0.04151624548736462,0.036101083032490974,0.048736462093862815,0.03790613718411552,0.02888086642599278,0.02707581227436823
0.0805551365213456,0.04057927289183889,0.06003922160205159,0.05098808266706894,0.05792728918388897,0.0337909186906019,0.03333836174385277,0.02836023532961231,0.05310001508523156,0.010107105144063962,0.01795142555438226,0.04344546688791673,0.05249660582289938,0.03741137426459496,0.05506109518781113,0.05038467340473676,0.007090058832403078,0.0481218886709911,0.06773268969678685,0.05279831045406547,0.03695881731784583,0.022175290390707498,0.022175290390707498,0.01116307135314527,0.02006335797254488,0.006184944938904812
0.10338150562010012,0.028808916595825067,0.036459809199962216,0.04014357230565788,0.08789080948332861,0.021346934920185134,0.02592802493624256,0.027769906489090394,0.06592991404552753,0.007745348068385756,0.025314064418626617,0.052422782657976764,0.03825446302068575,0.04727495985642769,0.07178615282894116,0.033106640219136674,0.0017474260885992255,0.05681496174553698,0.07046377632946066,0.048077831302540855,0.04099367148389534,0.012468121280816095,0.01686030036837631,0.004817228676678946,0.02564465854349674,0.008548219514498913
0.11156819632598057,0.026916802610114192,0.034240017022483867,0.03530392226399035,0.09892545570607844,0.014522306546563587,0.023317256543017237,0.02925739414142847,0.06519965955032271,0.005762820058160153,0.022271083055535854,0.055518121852613664,0.031633449180792965,0.053744946450102846,0.06695510319880843,0.02643804525143627,0.0013476133059082205,0.0658202709412015,0.07410100007092701,0.04885098233917299,0.03984325129441804,0.011348322576069225,0.013759841123483935,0.004096035179799986,0.03225406057167175,0.007004042839917725
0.10304249948836892,0.024566819019032675,0.03462889692339177,0.038073879527935055,0.11369295313459309,0.013131864383655092,0.025709461764103964,0.028804829797394092,0.06935159287809536,0.004007776792414217,0.01707142369875162,0.05759260522545876,0.031976942492666624,0.06289651408690906,0.06418411897128044,0.026007913227368853,0.0016542738249539532,0.06845623848830071,0.06774848216112968,0.05291970802919708,0.04015451258612456,0.010138822566341497,0.012475271164472338,0.0032403301725902178,0.0229722354867317,0.005500034108738659
0.09609054177538505,0.02297673701709769,0.03669452059318955,0.03831291079036893,0.11320474287412888,0.01404806728980194,0.02730895839526153,0.027479604980678404,0.07633957569552245,0.0033193513227862733,0.014818729288458786,0.058581321355043986,0.03017141724741553,0.06386586077440522,0.0624016029769572,0.027314463123823365,0.0017449989541015733,0.07239819004524888,0.07172661316070504,0.0562142880734551,0.03823033986194141,0.008736004227631535,0.012066365007541479,0.0030055817947617003,0.01838028866796578,0.0045689247063227315
0.08929494914669885,0.02208568309240607,0.03790807824595103,0.03891365199760304,0.1136339383193374,0.014742942514016467,0.026103873716354323,0.026657965375427882,0.08064701488249153,0.0019947299726648113,0.01310939821541442,0.059094901535859994,0.030113855574982966,0.06589175922049564,0.06565780940888681,0.027565033943244596,0.0018018239876540169,0.07132185747941652,0.07307442887515289,0.059382208322046284,0.036795790545144105,0.009522167770745603,0.01153331527404963,0.0027868758260070105,0.016528348971031268,0.0038375977869168697
0.0844668919404702,0.01958803652311453,0.040229347904234665,0.03819109928823064,0.11469911568049464,0.013404989575095262,0.024599180386799913,0.027090373139693723,0.08456395139837515,0.0016500107843842116,0.010752031059026529,0.05682651520598174,0.02979006398734632,0.06709684377022072,0.06772593284923431,0.02893090804515062,0.0016895535264936372,0.07196060104968006,0.07450212092889497,0.06342655834351858,0.03547702926162916,0.009339276727298871,0.010148105543173485,0.003012437989790783,0.01680926019124308,0.004029764900424186
0.08001305851103296,0.01867515469883809,0.041271572511834276,0.03872293697784505,0.11538975203668254,0.013095609075665168,0.025401029841665555,0.027063022154951103,0.08867545148317975,0.0012873020819421568,0.008309961566427755,0.05761326032438528,0.029359390998530917,0.07092774785202333,0.06926575553873777,0.030253453827776045,0.0016582825090148243,0.0719108459837659,0.06656872783391948,0.06532223359895532,0.03556960334772737,0.00996824407544258,0.008847883185683124,0.0028862277226253544,0.018100135036875454,0.003843357224472837
